objectid,quickref,name,short_name,street,street2,city,state,zip,county,country_code,country,mail_street,mail_street2,mail_city,mail_state,mail_zip,mail_country_code,mail_country,phone,webaddress,email,tax_id,parishueid,f2014_members_this_year,f2014_sunday_attendance,f2014_plate_and_pledge,f2015_members_this_year,f2015_sunday_attendance,f2015_plate_and_pledge,f2016_members_this_year,f2016_sunday_attendance,f2016_plate_and_pledge,f2017_members_this_year,f2017_sunday_attendance,f2017_plate_and_pledge,f2018_members_this_year,f2018_sunday_attendance,f2018_plate_and_pledge,f2019_members_this_year,f2019_sunday_attendance,f2019_plate_and_pledge,f2020_members_this_year,f2020_sunday_attendance,f2020_plate_and_pledge,f2021_members_this_year,f2021_sunday_attendance,f2021_plate_and_pledge,f2022_members_this_year,f2022_sunday_attendance,f2022_plate_and_pledge,f2023_members_this_year,f2023_sunday_attendance,f2023_plate_and_pledge,attendance_pctinc,member_pctinc,platepledge_pctinc,attendance_avg,member_avg,platepledge_avg,dio_reg
1,Wicomico Parish Church (Wicomico Church),Wicomico Parish Church,Wicomico Parish,5191 Jessie Ball Dupont Memorial Hwy,,Wicomico Church,VA,22579,Northumberland,US,UNITED STATES,PO Box 70,,Wicomico Church,VA,22579-0070,US,UNITED STATES,804-580-6445,www.wicomicoparishchurch.com,wparish@wicomicoparishchurch.com,54-0790112,7046-6818,223.000000000000000,112.000000000000000,295000.000000000000000,234.000000000000000,111.000000000000000,284700.000000000000000,236.000000000000000,109.000000000000000,300500.000000000000000,241.000000000000000,105.000000000000000,306611.000000000000000,253.000000000000000,113.000000000000000,309800.000000000000000,261.000000000000000,110.000000000000000,336382.000000000000000,256.000000000000000,99.000000000000000,299000.000000000000000,266.000000000000000,87.000000000000000,280000.000000000000000,180.000000000000000,68.000000000000000,283000.000000000000000,199.000000000000000,93.000000000000000,275594.000000000000000,-16.964285710000002,-10.762331840000000,-6.578305080000001,100.700000000000003,234.900000000000006,297058.700000000011642,12
2,Westover Parish Church (Charles City),Westover Parish Church,Westover,6401 John Tyler Memorial Hwy,,Charles City,VA,23030-3310,Charles City,US,UNITED STATES,6401 John Tyler Memorial Hwy,,Charles City,VA,23030-3310,US,UNITED STATES,804-829-2488,westoverepiscopalchurch.org,westoverchurch9@verizon.net,54-1003566,1748-5988,309.000000000000000,62.000000000000000,174810.000000000000000,308.000000000000000,56.000000000000000,165385.000000000000000,306.000000000000000,58.000000000000000,168944.000000000000000,306.000000000000000,49.000000000000000,161480.000000000000000,309.000000000000000,45.000000000000000,171723.000000000000000,170.000000000000000,44.000000000000000,188851.000000000000000,169.000000000000000,42.000000000000000,173426.000000000000000,172.000000000000000,34.000000000000000,191826.000000000000000,149.000000000000000,34.000000000000000,205455.000000000000000,147.000000000000000,38.000000000000000,149592.000000000000000,-38.709677419999998,-52.427184470000000,-14.425948170000000,46.200000000000003,234.500000000000000,175149.200000000011642,9
3,Ware Episcopal Church (Gloucester),Ware Episcopal Church,Ware,7825 John Clayton Memorial Hwy,,Gloucester,VA,23061,Gloucester,US,UNITED STATES,PO Box 616,,Gloucester,VA,23061-0616,US,UNITED STATES,804-693-3821,www.warechurch.org,office@warechurch.org,54-0613106,9871-8653,332.000000000000000,97.000000000000000,234674.000000000000000,335.000000000000000,110.000000000000000,230420.000000000000000,337.000000000000000,104.000000000000000,231981.000000000000000,333.000000000000000,100.000000000000000,235707.000000000000000,334.000000000000000,100.000000000000000,199566.000000000000000,235.000000000000000,65.000000000000000,132781.000000000000000,226.000000000000000,61.000000000000000,149728.000000000000000,117.000000000000000,54.000000000000000,172368.000000000000000,85.000000000000000,64.000000000000000,217048.000000000000000,117.000000000000000,75.000000000000000,246777.000000000000000,-22.680412369999999,-64.759036140000006,5.157367240000000,83.000000000000000,245.099999999999994,205105.000000000000000,9
4,Vauters Church (Loretto),Vauters Church,Vauters,3661 Tidewater Trl,,Loretto,VA,22438,Essex,US,UNITED STATES,PO Box 154,,Champlain,VA,22438-0154,US,UNITED STATES,(804) 443-4788,,,59-1491669,6200-6861,86.000000000000000,30.000000000000000,56230.000000000000000,86.000000000000000,,,86.000000000000000,,,86.000000000000000,,,86.000000000000000,22.000000000000000,75040.000000000000000,83.000000000000000,27.000000000000000,67846.000000000000000,83.000000000000000,0.000000000000000,0.000000000000000,82.000000000000000,13.000000000000000,68104.000000000000000,85.000000000000000,20.000000000000000,68670.000000000000000,85.000000000000000,19.000000000000000,92692.000000000000000,-36.666666670000005,-1.162790700000000,64.844389120000002,21.833333330000002,84.799999999999997,71430.333333329996094,9
5,Varina Church (Henrico),Varina Church,Varina,2385 Mill Rd,,Henrico,VA,23231-7019,Henrico,US,UNITED STATES,2385 Mill Rd,,Henrico,VA,23231-7019,US,UNITED STATES,804-795-5340,sites.google.com/sites/varinaepiscopal/,varinachurch@aol.com,54-6042784,6638-4173,232.000000000000000,42.000000000000000,83285.000000000000000,239.000000000000000,47.000000000000000,98529.000000000000000,242.000000000000000,43.000000000000000,96905.000000000000000,230.000000000000000,45.000000000000000,110508.000000000000000,225.000000000000000,43.000000000000000,97857.000000000000000,226.000000000000000,42.000000000000000,105438.000000000000000,225.000000000000000,53.000000000000000,81297.000000000000000,225.000000000000000,38.000000000000000,99285.000000000000000,225.000000000000000,41.000000000000000,111515.000000000000000,224.000000000000000,53.000000000000000,145166.000000000000000,26.190476190000002,-3.448275860000000,74.300294170000001,44.700000000000003,229.300000000000011,102978.500000000000000,3
6,Trinity Episcopal Church (Lancaster),Trinity Episcopal Church,Trinity,8484 Mary Ball Rd,,Lancaster,VA,22503,Lancaster,US,UNITED STATES,PO Box 208,,Lancaster,VA,22503-0208,US,UNITED STATES,804-462-5908,http://www.trinitylancasterva.org/,rectorstmtrin@gmail.com,54-1401515,6076-0931,66.000000000000000,,,66.000000000000000,,,66.000000000000000,,59222.000000000000000,69.000000000000000,33.000000000000000,61557.000000000000000,70.000000000000000,36.000000000000000,68256.000000000000000,72.000000000000000,32.000000000000000,67668.000000000000000,73.000000000000000,40.000000000000000,60575.000000000000000,80.000000000000000,27.000000000000000,60367.000000000000000,73.000000000000000,30.000000000000000,59219.000000000000000,75.000000000000000,33.000000000000000,81765.000000000000000,0.000000000000000,13.636363640000001,38.065246019999996,33.000000000000000,71.000000000000000,64828.625000000000000,12
7,Trinity Episcopal Church (Charlottesville),Trinity Episcopal Church,Trinity,1118 Preston Ave,,Charlottesville,VA,22903-2109,Charlottesville City,US,UNITED STATES,1118 Preston Ave,,Charlottesville,VA,22903-2109,US,UNITED STATES,434-293-3157,www.trinityepiscopalcville.org,trinepch@ntelos.net,54-1128335,4129-3267,113.000000000000000,74.000000000000000,168202.000000000000000,124.000000000000000,73.000000000000000,187577.000000000000000,146.000000000000000,84.000000000000000,211880.000000000000000,190.000000000000000,94.000000000000000,237645.000000000000000,154.000000000000000,98.000000000000000,226371.000000000000000,166.000000000000000,94.000000000000000,0.000000000000000,186.000000000000000,90.000000000000000,197096.000000000000000,183.000000000000000,49.000000000000000,201852.000000000000000,168.000000000000000,54.000000000000000,233341.000000000000000,160.000000000000000,75.000000000000000,272227.000000000000000,1.351351350000000,41.592920350000000,61.845281270000001,78.500000000000000,159.000000000000000,215132.333333329996094,4
8,Trinity Church (Washington),Trinity Church,Trinity,370 Gay St,,Washington,VA,22747,Rappahannock,US,UNITED STATES,PO Box 299,,Washington,VA,22747-0299,US,UNITED STATES,540-675-3716,www.TrinWash.org,contactus@trinwash.org,54-6056050,1300-1292,208.000000000000000,108.000000000000000,222476.000000000000000,225.000000000000000,97.000000000000000,222842.000000000000000,231.000000000000000,81.000000000000000,190632.000000000000000,232.000000000000000,84.000000000000000,223007.000000000000000,231.000000000000000,74.000000000000000,198838.000000000000000,228.000000000000000,76.000000000000000,184771.000000000000000,228.000000000000000,73.000000000000000,180139.000000000000000,223.000000000000000,58.000000000000000,222287.000000000000000,235.000000000000000,108.000000000000000,323106.000000000000000,243.000000000000000,119.000000000000000,370392.000000000000000,10.185185190000000,16.826923079999997,66.486272679999999,87.799999999999997,228.400000000000006,233849.000000000000000,5
9,Trinity Church (Upperville),Trinity Church,Trinity,9108 John S Mosby Hwy,,Upperville,VA,20184,Fauquier,US,UNITED STATES,PO Box 127,,Upperville,VA,20185-0127,US,UNITED STATES,540-592-3343,www.trinityupperville.org,info@trinityupperville.org,54-0977466,1814-8593,453.000000000000000,180.000000000000000,605087.000000000000000,433.000000000000000,158.000000000000000,562406.000000000000000,444.000000000000000,180.000000000000000,681589.000000000000000,446.000000000000000,173.000000000000000,651005.000000000000000,448.000000000000000,163.000000000000000,593202.000000000000000,459.000000000000000,143.000000000000000,678971.000000000000000,454.000000000000000,143.000000000000000,557117.000000000000000,475.000000000000000,100.000000000000000,599494.000000000000000,499.000000000000000,179.000000000000000,697732.000000000000000,517.000000000000000,183.000000000000000,789989.000000000000000,1.666666670000000,14.128035320000000,30.557919770000002,160.199999999999989,462.800000000000011,641659.199999999953434,8
10,Trinity Church (Manassas),Trinity Church,Trinity,9325 West St,,Manassas,VA,20110-5197,Manassas City,US,UNITED STATES,9325 West St,,Manassas,VA,20110-5128,US,UNITED STATES,703 368 4231,trinityepiscopalchurch.org/,info@trinityepiscopalchurch.org,54-0855813,6977-8892,1145.000000000000000,282.000000000000000,538260.000000000000000,1134.000000000000000,272.000000000000000,522845.000000000000000,1134.000000000000000,,,1134.000000000000000,,,1159.000000000000000,226.000000000000000,464992.000000000000000,1159.000000000000000,219.000000000000000,0.000000000000000,1159.000000000000000,0.000000000000000,0.000000000000000,981.000000000000000,86.000000000000000,425465.000000000000000,871.000000000000000,109.000000000000000,390906.000000000000000,670.000000000000000,123.000000000000000,403636.000000000000000,-56.382978719999997,-41.484716159999998,-25.010961250000001,188.142857139999990,1054.599999999999909,457684.000000000000000,14
