congregation_name,num_parcels,best_data_completeness,worst_data_completeness,recommended_action,total_acres,total_land_value,addresses
St Johns Episcopal Church,12,6,5,Multiple parcels - Fill missing data,13.88346,1481450,"5TH ST SOUTH, ARLINGTON 22204; UNASSIGNED, WEST POINT 23181; 902 MAIN ST, WEST POINT 23181; 415 10 ST, WEST POINT 23181; 103 SAINT JOHNS CHURCH LN, WEST POINT 23181"
St Johns Church,12,6,5,Multiple parcels - Fill missing data,56.94556,315943,"FAYETTE ST, COLUMBIA 23038; 64 K ST, COLUMBIA 23038; WASHINGTON ST, COLUMBIA 23038; 43 WASHINGTON ST, COLUMBIA 23038; COLUMBIA 23038; 48 CAMERON ST, COLUMBIA 23038; KING GEORGE 22485; 10367 RECTORY LN, KING GEORGE 22485; WARSAW 22572; 5987 RICHMOND RD, WARSAW 22572; 9403 KINGS HWY, KING GEORGE 22485; 5458 RICHMOND RD, WARSAW 22572"
Aquia Church,8,6,6,Multiple parcels - All complete,14.92999,1117600,"2928 RICHMOND HWY, STAFFORD 22554; 1021 AQUIA DR, STAFFORD 22554; STAFFORD 22554; 2918 RICHMOND HWY, STAFFORD 22554; 2948 RICHMOND HWY, STAFFORD 22554"
St Pauls Church,7,6,5,Multiple parcels - Fill missing data,1.36229,510000,"UNASSIGNED, WEST POINT 23181; 3075 COMERTOWN RD, SHENANDOAH 22849"
St James Church,5,5,5,Multiple parcels - Fill missing data,3.62774,0,"MONTROSS 22520; 218 RECTORY RD, MONTROSS 22520; 15870 KINGS HWY, MONTROSS 22520"
North Farnham Parish Church,4,6,6,Multiple parcels - All complete,3.69618,67756,"FARNHAM 22460; 28 CANAL RD, FARNHAM 22460; 231 NORTH FARNHAM CHURCH RD, FARNHAM 22460"
Holy Cross Korean Episcopal Church,3,6,6,Multiple parcels - All complete,8.15845,7329700,"10490 MAIN ST, FAIRFAX 22030; 10520 MAIN ST, FAIRFAX 22030; 1 TRURO LN, FAIRFAX 22030"
St Peters Church,3,6,6,Multiple parcels - All complete,3.16457,951900,"823 WATER ST, PORT ROYAL 22535; 37018 GLENDALE ST, PURCELLVILLE 20132"
Grace Church Emmanuel Parish,3,6,6,Multiple parcels - All complete,14.742180000000001,536900,"5096 GRACE CHURCH LN, MIDLAND 22728; 5092 GRACE CHURCH LN, MIDLAND 22728; 5094 GRACE CHURCH LN, MIDLAND 22728"
St Stephens Church,3,6,6,Multiple parcels - All complete,4.343249999999999,366400,"8695 OLD DUMFRIES RD, CATLETT 20119; 8691 OLD DUMFRIES RD, CATLETT 20119; 8693 OLD DUMFRIES RD, CATLETT 20119"
St Asaphs Church,3,6,6,Multiple parcels - All complete,0.90948,160000,"DORSEY LANE LN, BOWLING GREEN 22427; 130 SOUTH MAIN ST, BOWLING GREEN 22427"
Emmanuel Church,3,6,5,Multiple parcels - Fill missing data,27.08984,45000,"17062 JAMES MADISON PKWY, KING GEORGE 22485; 11005 LAMBS CREEK CHURCH RD, KING GEORGE 22485; 114 EAST COURT ST, WOODSTOCK 22664"
Meade Memorial Church,2,6,6,Multiple parcels - All complete,0.66628,2048563,"322 NORTH ALFRED ST, ALEXANDRIA 22314; WHITE POST 22663"
All Saints Sharon Chapel,2,6,6,Multiple parcels - All complete,6.06168,1009000,"3421 FRANCONIA RD, ALEXANDRIA 22310"
St Davids Church,2,5,5,Multiple parcels - Fill missing data,1.8289,846750,"11253 WEST RIVER RD, AYLETT 23009; 11291 WEST RIVER RD, AYLETT 23009"
Christ Ascension Church,2,6,6,Multiple parcels - All complete,1.9078000000000002,529000,"1704 WEST LABURNUM AVE, RICHMOND 23227; 1700 WEST LABURNUM AVE, RICHMOND 23227"
St Pauls on the Hill Church,2,6,6,Multiple parcels - All complete,4.86805,342500,"WINCHESTER 22602; 1527 SENSENY RD, WINCHESTER 22602"
St Andrews Church,2,5,5,Multiple parcels - Fill missing data,1.24714,301900,"5880 MAIN ST, MOUNT JACKSON 22842; 5904 MAIN ST, MOUNT JACKSON 22842"
St Marys Church,2,6,6,Multiple parcels - All complete,0.69112,150000,"110 NORTH BUCKMARSH ST, BERRYVILLE 22611; 104 NORTH BUCKMARSH ST, BERRYVILLE 22611"
Vauters Church,2,6,6,Multiple parcels - All complete,4.583819999999999,124909,"3663 TIDEWATER TRL, LORETTO 22509; 3661 TIDEWATER TRL, LORETTO 22509"
Piedmont/Bromfield Parish,2,6,6,Multiple parcels - All complete,0.8747199999999999,117000,"214 CHURCH ST, MADISON 22727; 206 CHURCH ST, MADISON 22727"
St Stephen & the Good Shepherd,2,5,5,Multiple parcels - Fill missing data,6.453549999999999,116900,"7078 ROCKY BAR RD, ELKTON 22827; 7066 ROCKY BAR RD, ELKTON 22827"
Church of the Good Shepherd,2,6,6,Multiple parcels - All complete,1.4465,102500,"BLUEMONT 20135; 27 GOOD SHEPHERD RD, BLUEMONT 20135"
Little Fork Episcopal Church,2,5,5,Multiple parcels - Fill missing data,17.04059,0,"16471 OAK SHADE RD, RIXEYVILLE 22737; OAK SHADE RD, RIXEYVILLE 22737"
St Pauls Church Nomini Grove,2,5,5,Multiple parcels - Fill missing data,2.91061,0,WARSAW 22572
St Patricks Anglo Vietnamese Church,1,6,6,Review needed,5.64457,1197000,"3241 BRUSH DR, FALLS CHURCH 22042"
St Francis Episcopal Church,1,6,6,Review needed,9.4943,491000,"1484 HOCKETT RD, MANAKIN SABOT 23103"
St John the Baptist Church,1,6,6,Review needed,7.0976,378100,"4712 DICK WOODS RD, CHARLOTTESVILLE 22903"
Church of Our Redeemer,1,6,6,Review needed,1.13211,284100,"39518 LITTLE RIVER TPKE, ALDIE 20105"
St Lukes Church,1,5,5,Single parcel - Fill missing data,2.72661,200000,"403 NORTH RAPPAHANNOCK ST, REMINGTON 22734"
Holy Cross Church,1,6,6,Review needed,2.36224,136000,"2523 CRAIGS STORE RD, AFTON 22920"
Good Shepherd-of-the-Hills,1,6,6,Review needed,3.11541,117600,"7420 MISSION HOME RD, FREE UNION 22940"
Grace Episcopal Church,1,6,6,Review needed,5.5998,101200,BREMO BLUFF 23022
Grace Memorial Church,1,5,5,Single parcel - Fill missing data,3.03144,100700,"7051 ORE BANK RD, PORT REPUBLIC 24471"
Calvary Episcopal Church,1,6,6,Review needed,1.45109,83300,"13312 HANOVER COURTHOUSE RD, HANOVER 23069"
St Georges Church,1,6,6,Review needed,1.83201,70000,"3392 PINE GROVE RD, STANLEY 22851"
Christ Church,1,5,5,Single parcel - Fill missing data,0.90241,0,"14586 ALANTHUS RD, BRANDY STATION 22714"
