congregation_name,num_parcels,total_acres,total_land_value,has_any_qct,has_any_dda,any_developable,all_developable,best_data_completeness,worst_data_completeness,addresses,cities,attendance_2023,members_2023
St Johns Episcopal Church,13,15.82249,1525450,FALSE,FALSE,TRUE,FALSE,5,4,"5TH ST SOUTH, ARLINGTON 22204; UNASSIGNED, WEST POINT 23181; 902 MAIN ST, WEST POINT 23181; 103 SAINT JOHNS CHURCH LN, WEST POINT 23181; UNASSIGNED 23181; 415 10 ST, WEST POINT 23181","ARLINGTON, WEST POINT, UNASSIGNED",21,29
St Johns Church,12,56.94556,315943,FALSE,TRUE,TRUE,FALSE,5,4,"5987 RICHMOND RD, WARSAW 22572; 5458 RICHMOND RD, WARSAW 22572; WARSAW 22572; 10367 RECTORY LN, KING GEORGE 22485; 43 WASHINGTON ST, COLUMBIA 23038; 48 CAMERON ST, COLUMBIA 23038; 64 K ST, COLUMBIA 23038; FAYETTE ST, COLUMBIA 23038; WASHINGTON ST, COLUMBIA 23038; COLUMBIA 23038; KING GEORGE 22485; 9403 KINGS HWY, KING GEORGE 22485","WARSAW, KING GEORGE, COLUMBIA",29,34
Aquia Church,9,46.314,3457300,FALSE,FALSE,TRUE,FALSE,6,5,"AQUIA HARBOUR 22554; 2918 RICHMOND HWY, STAFFORD 22554; 2948 RICHMOND HWY, STAFFORD 22554; STAFFORD 22554; 1021 AQUIA DR, STAFFORD 22554; 2928 RICHMOND HWY, STAFFORD 22554","AQUIA HARBOUR, STAFFORD",0,1136
St Pauls Church,9,3.9617199999999997,1367000,TRUE,FALSE,TRUE,FALSE,6,4,"3075 COMERTOWN RD, SHENANDOAH 22849; 3439 PAYNE ST, FALLS CHURCH 22041; 3312 KAYWOOD PL, FALLS CHURCH 22041; UNASSIGNED, WEST POINT 23181","SHENANDOAH, FALLS CHURCH, WEST POINT",9,16
St Stephens Church,6,14.55583,592300,FALSE,FALSE,TRUE,FALSE,6,5,"8695 OLD DUMFRIES RD, CATLETT 20119; UNASSIGNED 20119; 8691 OLD DUMFRIES RD, CATLETT 20119; 8693 OLD DUMFRIES RD, CATLETT 20119; 12187 ELK RUN RD, MIDLAND 22728","CATLETT, UNASSIGNED, MIDLAND",23,87
North Farnham Parish Church,5,5.98641,73756,FALSE,TRUE,TRUE,FALSE,4,4,"FARNHAM 22460; WARSAW 22572; 231 NORTH FARNHAM CHURCH RD, FARNHAM 22460; 28 CANAL RD, FARNHAM 22460","FARNHAM, WARSAW",29,35
St James Church,5,3.62774,0,FALSE,TRUE,TRUE,FALSE,3,2,"MONTROSS 22520; 15870 KINGS HWY, MONTROSS 22520; 218 RECTORY RD, MONTROSS 22520",MONTROSS,25,100
St Pauls Church Nomini Grove,4,29.47837,0,FALSE,TRUE,TRUE,FALSE,4,3,"COLONIAL BEACH 22443; 2265 LONGFIELD RD, COLONIAL BEACH 22443; WARSAW 22572","COLONIAL BEACH, WARSAW",29,39
Holy Cross Korean Episcopal Church,3,8.15845,7329700,FALSE,FALSE,TRUE,FALSE,5,5,"10520 MAIN ST, FAIRFAX 22030; 1 TRURO LN, FAIRFAX 22030; 10490 MAIN ST, FAIRFAX 22030",FAIRFAX,25,34
Meade Memorial Church,3,2.30099,2173563,FALSE,TRUE,TRUE,FALSE,5,5,"WHITE POST RD,  22663; 322 NORTH ALFRED ST, ALEXANDRIA 22314; WHITE POST 22663","ALEXANDRIA, WHITE POST",0,36
St Peters Church,3,3.16457,951900,FALSE,FALSE,TRUE,FALSE,5,4,"37018 GLENDALE ST, PURCELLVILLE 20132; 823 WATER ST, PORT ROYAL 22535","PURCELLVILLE, PORT ROYAL",0,166
Grace Church Emmanuel Parish,3,14.742180000000001,536900,FALSE,FALSE,TRUE,TRUE,5,5,"5092 GRACE CHURCH LN, MIDLAND 22728; 5096 GRACE CHURCH LN, MIDLAND 22728; 5094 GRACE CHURCH LN, MIDLAND 22728",MIDLAND,14,38
St Andrews Church,3,1.24714,301900,FALSE,TRUE,FALSE,FALSE,4,0,"5904 MAIN ST, MOUNT JACKSON 22842; 5880 MAIN ST, MOUNT JACKSON 22842",MOUNT JACKSON,25,48
St Asaphs Church,3,0.90948,160000,FALSE,FALSE,FALSE,FALSE,4,4,"DORSEY LANE LN, BOWLING GREEN 22427; 130 SOUTH MAIN ST, BOWLING GREEN 22427",BOWLING GREEN,0,155
Immanuel Church,3,3.24575,45900,FALSE,FALSE,FALSE,FALSE,5,4,"KING, HOUSE 23085; 190 ALLENS CIR, QUEEN CH 23085; 208 ALLENS CIR, QUEEN CH 23085","HOUSE, QUEEN CH",2,2
Emmanuel Church,3,27.08984,45000,FALSE,TRUE,FALSE,FALSE,5,4,"114 EAST COURT ST, WOODSTOCK 22664; 11005 LAMBS CREEK CHURCH RD, KING GEORGE 22485; 17062 JAMES MADISON PKWY, KING GEORGE 22485","WOODSTOCK, KING GEORGE",25,31
St Patricks Anglo Vietnamese Church,2,8.26459,2180000,FALSE,FALSE,TRUE,TRUE,5,5,"3241 BRUSH DR, FALLS CHURCH 22042; WEST FALLS CHURCH 22042","FALLS CHURCH, WEST FALLS CHURCH",21,53
All Saints Sharon Chapel,2,6.06168,1009000,FALSE,FALSE,TRUE,TRUE,5,5,"3421 FRANCONIA RD, ALEXANDRIA 22310",ALEXANDRIA,28,55
St Davids Church,2,1.8289,846750,FALSE,FALSE,TRUE,FALSE,4,4,"11291 WEST RIVER RD, AYLETT 23009; 11253 WEST RIVER RD, AYLETT 23009",AYLETT,11,50
Christ Ascension Church,2,1.9078000000000002,529000,FALSE,FALSE,TRUE,FALSE,5,5,"1704 WEST LABURNUM AVE, RICHMOND 23227; 1700 WEST LABURNUM AVE, RICHMOND 23227",RICHMOND,18,49
St Pauls on the Hill Church,2,4.86805,342500,FALSE,FALSE,TRUE,TRUE,6,5,"WINCHESTER 22602; 1527 SENSENY RD, WINCHESTER 22602",WINCHESTER,0,60
