congregation_name,sadd,scity,scounty,rgisacre,size_category,development_potential,estimated_land_value,has_environmental_constraint
St Johns Church,"10367 RECTORY LN, KING GEORGE 22485",KING GEORGE,KING-GEORGE,49.81875,Campus Scale (25+ ac),Low Potential - Constraints,4986856.875,TRUE
Emmanuel Church,"11005 LAMBS CREEK CHURCH RD, KING GEORGE 22485",KING GEORGE,KING-GEORGE,26.21151,Campus Scale (25+ ac),Low Potential - Constraints,2380005.108,TRUE
Little Fork Episcopal Church,"16471 OAK SHADE RD, RIXEYVILLE 22737",RIXEYVILLE,CULPEPER,16.13005,Very Large (10-25 ac),High Potential,1771482.74125,FALSE
St Johns Episcopal Church,"103 SAINT JOHNS CHURCH LN, WEST POINT 23181",WEST POINT,KING-WILLIAM,12.5061,Very Large (10-25 ac),High Potential,115500,FALSE
St Francis Episcopal Church,"1484 HOCKETT RD, MANAKIN SABOT 23103",MANAKIN SABOT,GOOCHLAND,9.4943,Large (5-10 ac),High Potential,491000,FALSE
Grace Church Emmanuel Parish,"5092 GRACE CHURCH LN, MIDLAND 22728",MIDLAND,FAUQUIER,8.33608,Large (5-10 ac),High Potential,217100,FALSE
Aquia Church,"2918 RICHMOND HWY, STAFFORD 22554",STAFFORD,STAFFORD,8.14645,Large (5-10 ac),High Potential,779000,FALSE
St John the Baptist Church,"4712 DICK WOODS RD, CHARLOTTESVILLE 22903",CHARLOTTESVILLE,ALBEMARLE,7.0976,Large (5-10 ac),High Potential,378100,FALSE
St Stephen & the Good Shepherd,"7078 ROCKY BAR RD, ELKTON 22827",ELKTON,ROCKINGHAM,6.305809999999999,Large (5-10 ac),High Potential,101900,FALSE
St Patricks Anglo Vietnamese Church,"3241 BRUSH DR, FALLS CHURCH 22042",FALLS CHURCH,FAIRFAX,5.64457,Large (5-10 ac),High Potential,1197000,FALSE
Grace Episcopal Church,BREMO BLUFF 23022,BREMO BLUFF,FLUVANNA,5.5998,Large (5-10 ac),High Potential,101200,FALSE
