congregation_name,sadd,n_parcels,attendance_2023,plate_pledge_2023,total_land_value,total_gis_acreage,total_deed_acreage,pids
St Johns Episcopal Church,"916 Main Street, West Point, VA, 23181, USA",6,28,161514,385250,2.45683,0,"69A1-46-631, 69A1-46-625, 69A1-46-627, 69A1-46-624, 69A1-46-624A, 54-66"
St Pauls Church,"532 15th St, West Point, VA, 23181, USA",6,0,0,480000,0.8568,0,"69A3-85-1297, 69A3-85-1295, 69A3-85-1296, 69A3-85-1294B, 69A3-85-1300, 69A3-85-1301"
Aquia Church,STAFFORD 22554,4,0,0,400,4.56534,0,"21        48C, 21        48A, 21        48D, 21        48E"
St James Church,MONTROSS 22520,3,25,55882,0,1.7841,0,"34A2-1-6-12A, 34A2-1-6-7B, 34A2-1-6-7E"
St Johns Episcopal Church,"902 MAIN ST, WEST POINT 23181",3,28,161514,225000,0.38004,0,"69A1-46-628, 69A1-46-630, 69A1-46-629"
All Saints Sharon Chapel,"3421 FRANCONIA RD, ALEXANDRIA 22310",2,28,82541,1009000,6.06168,0,"0822 01  0049, 0824 01  0040"
North Farnham Parish Church,FARNHAM 22460,2,29,46355,26750,2.49902,0,"32-136, 32-137A"
St Asaphs Church,"130 SOUTH MAIN ST, BOWLING GREEN 22427",2,0,0,100000,0.38771,0,"43A4-3-A-3, 43A4-3-A-4"
St Johns Episcopal Church,"415 10 ST, WEST POINT 23181",2,28,161514,85000,0.20351,0,"69A1-53-735A, 69A1-53-738"
St Pauls Church Nomini Grove,WARSAW 22572,2,29,18859,0,2.91061,0,"52-9, 52-8A"
St Peters Church,"823 WATER ST, PORT ROYAL 22535",2,22,102387,160000,1.14609,0,"13A-1-C-1, 13A-1-C-3"
St Stephens Church,"20119, Catlett, VA, USA",2,23,101136,150900,9.733130000000001,0,"7923-02-3175-000, 7923-02-3175-800"
