congregation_name,property_count,address_status,scity,scounty,szip,lat,lon,has_shared_address,shared_addresses,shared_cities,num_shared_addresses,has_unassigned,num_unassigned,unassigned_addresses,unique_addresses,unique_coords,avg_data_completeness,min_data_completeness,max_data_completeness
St Johns Episcopal Church,12,Has unassigned addresses,ARLINGTON,ARLINGTON,22204,38.862425,-77.12766,FALSE,None,NA,0,TRUE,5,"UNASSIGNED, WEST POINT 23181",5,12,5.916666666666667,5,6
St Pauls Church,7,Has unassigned addresses,WEST POINT,KING-WILLIAM,23181,37.538384,-76.797358,FALSE,None,NA,0,TRUE,6,"UNASSIGNED, WEST POINT 23181",2,7,5.142857142857143,5,6
St Johns Church,12,Has shared addresses,COLUMBIA,FLUVANNA,23038,37.754815,-78.16206600000001,TRUE,WARSAW 22572,WARSAW,1,FALSE,0,NA,12,12,5.75,5,6
St Pauls Church Nomini Grove,2,Has shared addresses,WARSAW,WESTMORELAND,22572,38.034041,-76.744599,TRUE,WARSAW 22572,WARSAW,1,FALSE,0,NA,1,2,5,5,5
St James Church,5,All addresses unique and assigned,MONTROSS,WESTMORELAND,22520,38.094116,-76.827473,FALSE,None,NA,0,FALSE,0,NA,3,5,5,5,5
Emmanuel Church,3,All addresses unique and assigned,KING GEORGE,KING-GEORGE,22485,38.179528,-77.185808,FALSE,None,NA,0,FALSE,0,NA,3,3,5.333333333333333,5,6
Little Fork Episcopal Church,2,All addresses unique and assigned,RIXEYVILLE,CULPEPER,22737,38.601057,-77.953831,FALSE,None,NA,0,FALSE,0,NA,2,2,5,5,5
St Andrews Church,2,All addresses unique and assigned,MOUNT JACKSON,SHENANDOAH,22842,38.747896999999995,-78.641126,FALSE,None,NA,0,FALSE,0,NA,2,2,5,5,5
St Davids Church,2,All addresses unique and assigned,AYLETT,KING-WILLIAM,23009,37.785479,-77.10392,FALSE,None,NA,0,FALSE,0,NA,2,2,5,5,5
St Stephen & the Good Shepherd,2,All addresses unique and assigned,ELKTON,ROCKINGHAM,22827,38.345031,-78.70047,FALSE,None,NA,0,FALSE,0,NA,2,2,5,5,5
