congregation_name,property_count,unique_addresses,unique_coords,unique_pids,avg_data_completeness,min_data_completeness,max_data_completeness
St Johns Episcopal Church,13,6,13,13,4.6923076923076925,4,5
St Johns Church,12,12,12,12,4.333333333333333,4,5
Aquia Church,9,6,9,9,5.111111111111111,5,6
St Pauls Church,9,4,9,9,4.444444444444445,4,6
St Stephens Church,6,5,6,6,5.333333333333333,5,6
North Farnham Parish Church,5,4,5,5,4,4,4
St James Church,5,3,5,5,2.6,2,3
St Pauls Church Nomini Grove,4,3,4,4,3.25,3,4
Emmanuel Church,3,3,3,3,4.666666666666667,4,5
Grace Church Emmanuel Parish,3,3,3,3,5,5,5
Holy Cross Korean Episcopal Church,3,3,3,3,5,5,5
Immanuel Church,3,3,3,3,4.333333333333333,4,5
Meade Memorial Church,3,3,3,3,5,5,5
St Andrews Church,3,2,3,2,2.6666666666666665,0,4
St Asaphs Church,3,2,3,3,4,4,4
St Peters Church,3,2,3,3,4.333333333333333,4,5
All Saints Sharon Chapel,2,1,2,2,5,5,5
Christ Ascension Church,2,2,2,2,5,5,5
Church of the Good Shepherd,2,2,2,2,5,5,5
Little Fork Episcopal Church,2,2,2,2,4.5,4,5
Piedmont/Bromfield Parish,2,2,2,2,4,4,4
St Davids Church,2,2,2,2,4,4,4
St Marys Church,2,2,2,2,5,5,5
St Patricks Anglo Vietnamese Church,2,2,2,2,5,5,5
St Pauls on the Hill Church,2,2,2,2,5.5,5,6
St Stephen & the Good Shepherd,2,2,2,2,3,3,3
Vauters Church,2,2,2,2,4,4,4
Calvary Episcopal Church,1,1,1,1,5,5,5
Christ Church,1,1,1,1,4,4,4
Church of Our Redeemer,1,1,1,1,5,5,5
Church of the Spirit,1,0,1,0,0,0,0
Good Shepherd-of-the-Hills,1,1,1,1,5,5,5
Grace Church,1,1,1,1,4,4,4
Grace Episcopal Church,1,1,1,1,4,4,4
Grace Memorial Church,1,1,1,1,4,4,4
Holy Cross Church,1,1,1,1,5,5,5
La Iglesia de San Jose,1,0,1,0,0,0,0
Olivet Church,1,0,1,0,0,0,0
St Bartholomews Episcopal Church,1,1,1,1,5,5,5
St Francis Episcopal Church,1,1,1,1,4,4,4
St Francis Korean Church,1,0,1,0,0,0,0
St Georges Church,1,1,1,1,5,5,5
St John the Baptist Church,1,1,1,1,5,5,5
St Lukes Church,1,1,1,1,4,4,4
