sadd,scity,congregation_name,attendance_2023,uid,pid
"UNASSIGNED, WEST POINT 23181",WEST POINT,St Johns Episcopal Church,28,69A1-46-631_KING-WILLIAM_VA_9915CB0D-3B70-465A-AB69-115AA4DFC79E,69A1-46-631
"UNASSIGNED, WEST POINT 23181",WEST POINT,St Johns Episcopal Church,28,69A1-46-625_KING-WILLIAM_VA_187B8D42-5F7B-4656-B4BA-ADD95D25E88A,69A1-46-625
"UNASSIGNED, WEST POINT 23181",WEST POINT,St Johns Episcopal Church,28,69A1-46-627_KING-WILLIAM_VA_AAF45E17-20A1-48C2-A4BC-0299FDDEE23D,69A1-46-627
"UNASSIGNED, WEST POINT 23181",WEST POINT,St Johns Episcopal Church,28,69A1-46-624_KING-WILLIAM_VA_6876F922-53C6-4657-AF16-7938B0C365EA,69A1-46-624
"UNASSIGNED, WEST POINT 23181",WEST POINT,St Johns Episcopal Church,28,69A1-46-624A_KING-WILLIAM_VA_EDAB549D-3F2E-4166-B4A1-0AAACCE5B22C,69A1-46-624A
"UNASSIGNED, WEST POINT 23181",WEST POINT,St Pauls Church,0,69A3-85-1297_KING-WILLIAM_VA_D21D685F-A442-43AD-A86A-8734AB3B5C35,69A3-85-1297
"UNASSIGNED, WEST POINT 23181",WEST POINT,St Pauls Church,0,69A3-85-1295_KING-WILLIAM_VA_E21748C0-2D5B-4660-9BE6-060FF446948E,69A3-85-1295
"UNASSIGNED, WEST POINT 23181",WEST POINT,St Pauls Church,0,69A3-85-1296_KING-WILLIAM_VA_E91AD8B2-300E-4B00-B046-A86A15F5040F,69A3-85-1296
"UNASSIGNED, WEST POINT 23181",WEST POINT,St Pauls Church,0,69A3-85-1294B_KING-WILLIAM_VA_22BD56EC-9A79-456A-A76C-EE3813CB3D38,69A3-85-1294B
"UNASSIGNED, WEST POINT 23181",WEST POINT,St Pauls Church,0,69A3-85-1300_KING-WILLIAM_VA_AA831D06-E78D-4D56-B9F6-0C9CD7068248,69A3-85-1300
"UNASSIGNED, WEST POINT 23181",WEST POINT,St Pauls Church,0,69A3-85-1301_KING-WILLIAM_VA_F28D9823-8048-4A27-B784-0F1D1F70A60E,69A3-85-1301
WARSAW 22572,WARSAW,North Farnham Parish Church,29,31-64_RICHMOND_VA_170A3EEB-419B-4D77-A2B3-0F5AC901DFF9,31-64
WARSAW 22572,WARSAW,St Johns Church,29,16A3(A)20_RICHMOND_VA_CFAB708D-870C-4901-9DCB-6DE17A4850E6,16A3(A)20
WARSAW 22572,WARSAW,St Pauls Church Nomini Grove,29,52-9_WESTMORELAND_VA_2D943ABD-25C0-47B7-A302-0ADD56D6C319,52-9
WARSAW 22572,WARSAW,St Pauls Church Nomini Grove,29,52-8A_WESTMORELAND_VA_A9A223F5-FBE3-4E4D-AAFA-66E14B8B03DB,52-8A
