congr_name,clean_name,clean_city
All Souls Episcopal Church (Mechanicsville) & Church of the Creator (Mechanicsville),all souls episcopal church & church of the creator,mechanicsville
Olivet Church (Alexandria) & Church of the Spirit (Alexandria),olivet church & church of the spirit,alexandria
Piedmont Parish (Delaplane) & St Andrews Church (Ada),piedmont parish & st andrews church,marshall
St Andrews Church (Richmond) & St Pauls Church (Richmond),st andrews church & st pauls church,richmond
St Dunstans Church (McLean) & St Francis Korean Church (McLean),st dunstans church & st francis korean church,mclean
St Dunstans Church (McLean) & St Francis Korean Church (McLean),st dunstans church & st francis korean church,mc lean
St Georges Church (Arlington) & La Iglesia de San Jose (Arlington),st georges church & la iglesia de san jose,arlington
St James Church (Leesburg) & St Gabriels Episcopal Church (Leesburg),st james church & st gabriels episcopal church,leesburg
St Johns Episcopal Church (Arlington) & La Iglesia de Cristo Rey (Arlington),st johns episcopal church & la iglesia de cristo rey,arlington
St Marks Church (Alexandria) & La Iglesia de San Marcos (Alexandria),st marks church & la iglesia de san marcos,alexandria
St Mary's Episcopal Church (Richmond),st mary's episcopal church,henrico
