uid,pid,congr_name,clean_name,clean_city,sadd,scity,scounty,lan_val,rgisacre,lat,lon
08800000001000_ALBEMARLE_VA_81E7965A-DA63-493D-BF34-43D6C97F17DF,08800000001000,McIlhany Church (Albermarle) (Charlottesville),mcilhany church,north garden,"3121 RED HILL DEPOT RD, NORTH GARDEN 22959",NORTH GARDEN,ALBEMARLE,112500,1.59544,37.961516,-78.607957
14039001_ARLINGTON_VA_B2DE0C35-AD65-4EAA-ACBE-767994319318,14039001,St Georges Church (Arlington) & La Iglesia de San Jose (Arlington),st georges church & la iglesia de san jose,arlington,"911 NORTH OAKLAND ST, ARLINGTON 22203",ARLINGTON,ARLINGTON,875800,0.11555,38.882242,-77.104365
14039003_ARLINGTON_VA_C76CA00A-EB3D-4335-9B75-98844D63F6BE,14039003,St Georges Church (Arlington) & La Iglesia de San Jose (Arlington),st georges church & la iglesia de san jose,arlington,"901 NORTH OAKLAND ST, ARLINGTON 22203",ARLINGTON,ARLINGTON,892000,0.13232,38.882099,-77.104303
14039002_ARLINGTON_VA_3B99B094-9FC4-4AD1-BD9A-DFA89474D699,14039002,St Georges Church (Arlington) & La Iglesia de San Jose (Arlington),st georges church & la iglesia de san jose,arlington,"915 NORTH OAKLAND ST, ARLINGTON 22203",ARLINGTON,ARLINGTON,3533600,1.00538,38.882525,-77.104278
22-9_CHARLES-CITY_VA_AAD4EAE8-60E8-4100-9FD0-13117108D21D,22-9,Westover Parish Church (Charles City),westover parish church,NA,23231,NA,CHARLES-CITY,24300,0.68482,37.380564,-77.239512
28A A 64_CLARKE_VA_1CA27DE9-CBA7-47A8-854C-F711B1D8F0EE,28A A 64,Meade Memorial Church (White Post),meade memorial church,NA,"WHITE POST RD,  22663",NA,CLARKE,125000,1.63471,39.058118,-78.103692
30A A 93_CLARKE_VA_85A1A270-497D-4F49-AC0F-EC2984582CB7,30A A 93,Cunningham Chapel Parish (Millwood),cunningham chapel parish,boyce,"797 BISHOP MEADE RD, BOYCE 22620",BOYCE,CLARKE,180000,3.83876,39.072439,-78.036267
0214 01  0015_FAIRFAX_VA_0922ED67-4757-4D76-9356-771EDCD02E2F,0214 01  0015,St Johns Episcopal Church (McLean),st johns episcopal church,mc lean,"6715 GEORGETOWN PIKE, MC LEAN 22101",MC LEAN,FAIRFAX,5459000,12.10259,38.949682,-77.176384
0411 01  0005A_FAIRFAX_VA_95315D90-D0D9-49C1-941F-B1F63C337D53,0411 01  0005A,St Dunstans Church (McLean) & St Francis Korean Church (McLean),st dunstans church & st francis korean church,mclean,"1838 KIRBY RD, MCLEAN 22101",MCLEAN,FAIRFAX,632000,0.38358,38.916371,-77.160301
0612 17B 0012_FAIRFAX_VA_B70973D8-0DC3-4CA4-BE47-93609C976B92,0612 17B 0012,St Pauls Church (Baileys Crossroads),st pauls church,falls church,"3439 PAYNE ST, FALLS CHURCH 22041",FALLS CHURCH,FAIRFAX,514000,2.24076,38.850124,-77.134139
