congregation_name,num_parcels,best_data_completeness,worst_data_completeness,recommended_action,total_acres,total_land_value,addresses
St Johns Episcopal Church,13,5,4,Multiple parcels - Fill missing data,15.82249,1525450,"5TH ST SOUTH, ARLINGTON 22204; UNASSIGNED, WEST POINT 23181; 902 MAIN ST, WEST POINT 23181; 103 SAINT JOHNS CHURCH LN, WEST POINT 23181; UNASSIGNED 23181; 415 10 ST, WEST POINT 23181"
St Johns Church,12,5,4,Multiple parcels - Fill missing data,56.94556,315943,"5987 RICHMOND RD, WARSAW 22572; 5458 RICHMOND RD, WARSAW 22572; WARSAW 22572; 10367 RECTORY LN, KING GEORGE 22485; 43 WASHINGTON ST, COLUMBIA 23038; 48 CAMERON ST, COLUMBIA 23038; 64 K ST, COLUMBIA 23038; FAYETTE ST, COLUMBIA 23038; WASHINGTON ST, COLUMBIA 23038; COLUMBIA 23038; KING GEORGE 22485; 9403 KINGS HWY, KING GEORGE 22485"
Aquia Church,9,6,5,Multiple parcels - Fill missing data,46.314,3457300,"AQUIA HARBOUR 22554; 2918 RICHMOND HWY, STAFFORD 22554; 2948 RICHMOND HWY, STAFFORD 22554; STAFFORD 22554; 1021 AQUIA DR, STAFFORD 22554; 2928 RICHMOND HWY, STAFFORD 22554"
St Pauls Church,9,6,4,Multiple parcels - Fill missing data,3.9617199999999997,1367000,"3075 COMERTOWN RD, SHENANDOAH 22849; 3439 PAYNE ST, FALLS CHURCH 22041; 3312 KAYWOOD PL, FALLS CHURCH 22041; UNASSIGNED, WEST POINT 23181"
St Stephens Church,6,6,5,Multiple parcels - Fill missing data,14.55583,592300,"8695 OLD DUMFRIES RD, CATLETT 20119; UNASSIGNED 20119; 8691 OLD DUMFRIES RD, CATLETT 20119; 8693 OLD DUMFRIES RD, CATLETT 20119; 12187 ELK RUN RD, MIDLAND 22728"
North Farnham Parish Church,5,4,4,Multiple parcels - Fill missing data,5.98641,73756,"FARNHAM 22460; WARSAW 22572; 231 NORTH FARNHAM CHURCH RD, FARNHAM 22460; 28 CANAL RD, FARNHAM 22460"
St James Church,5,3,2,Multiple parcels - Fill missing data,3.62774,0,"MONTROSS 22520; 15870 KINGS HWY, MONTROSS 22520; 218 RECTORY RD, MONTROSS 22520"
St Pauls Church Nomini Grove,4,4,3,Multiple parcels - Fill missing data,29.47837,0,"COLONIAL BEACH 22443; 2265 LONGFIELD RD, COLONIAL BEACH 22443; WARSAW 22572"
Holy Cross Korean Episcopal Church,3,5,5,Multiple parcels - Fill missing data,8.15845,7329700,"10520 MAIN ST, FAIRFAX 22030; 1 TRURO LN, FAIRFAX 22030; 10490 MAIN ST, FAIRFAX 22030"
Meade Memorial Church,3,5,5,Multiple parcels - Fill missing data,2.30099,2173563,"WHITE POST RD,  22663; 322 NORTH ALFRED ST, ALEXANDRIA 22314; WHITE POST 22663"
St Peters Church,3,5,4,Multiple parcels - Fill missing data,3.16457,951900,"37018 GLENDALE ST, PURCELLVILLE 20132; 823 WATER ST, PORT ROYAL 22535"
Grace Church Emmanuel Parish,3,5,5,Multiple parcels - Fill missing data,14.742180000000001,536900,"5092 GRACE CHURCH LN, MIDLAND 22728; 5096 GRACE CHURCH LN, MIDLAND 22728; 5094 GRACE CHURCH LN, MIDLAND 22728"
St Andrews Church,3,4,0,Multiple parcels - Fill missing data,1.24714,301900,"5904 MAIN ST, MOUNT JACKSON 22842; 5880 MAIN ST, MOUNT JACKSON 22842"
St Asaphs Church,3,4,4,Multiple parcels - Fill missing data,0.90948,160000,"DORSEY LANE LN, BOWLING GREEN 22427; 130 SOUTH MAIN ST, BOWLING GREEN 22427"
Immanuel Church,3,5,4,Multiple parcels - Fill missing data,3.24575,45900,"KING, HOUSE 23085; 190 ALLENS CIR, QUEEN CH 23085; 208 ALLENS CIR, QUEEN CH 23085"
Emmanuel Church,3,5,4,Multiple parcels - Fill missing data,27.08984,45000,"114 EAST COURT ST, WOODSTOCK 22664; 11005 LAMBS CREEK CHURCH RD, KING GEORGE 22485; 17062 JAMES MADISON PKWY, KING GEORGE 22485"
St Patricks Anglo Vietnamese Church,2,5,5,Multiple parcels - Fill missing data,8.26459,2180000,"3241 BRUSH DR, FALLS CHURCH 22042; WEST FALLS CHURCH 22042"
All Saints Sharon Chapel,2,5,5,Multiple parcels - Fill missing data,6.06168,1009000,"3421 FRANCONIA RD, ALEXANDRIA 22310"
St Davids Church,2,4,4,Multiple parcels - Fill missing data,1.8289,846750,"11291 WEST RIVER RD, AYLETT 23009; 11253 WEST RIVER RD, AYLETT 23009"
Christ Ascension Church,2,5,5,Multiple parcels - Fill missing data,1.9078000000000002,529000,"1704 WEST LABURNUM AVE, RICHMOND 23227; 1700 WEST LABURNUM AVE, RICHMOND 23227"
St Pauls on the Hill Church,2,6,5,Multiple parcels - Fill missing data,4.86805,342500,"WINCHESTER 22602; 1527 SENSENY RD, WINCHESTER 22602"
St Marys Church,2,5,5,Multiple parcels - Fill missing data,0.69112,150000,"110 NORTH BUCKMARSH ST, BERRYVILLE 22611; 104 NORTH BUCKMARSH ST, BERRYVILLE 22611"
Vauters Church,2,4,4,Multiple parcels - Fill missing data,4.583819999999999,124909,"3661 TIDEWATER TRL, LORETTO 22509; 3663 TIDEWATER TRL, LORETTO 22509"
Piedmont/Bromfield Parish,2,4,4,Multiple parcels - Fill missing data,0.8747199999999999,117000,"214 CHURCH ST, MADISON 22727; 206 CHURCH ST, MADISON 22727"
St Stephen & the Good Shepherd,2,3,3,Multiple parcels - Fill missing data,6.453549999999999,116900,"7078 ROCKY BAR RD, ELKTON 22827; 7066 ROCKY BAR RD, ELKTON 22827"
Church of the Good Shepherd,2,5,5,Multiple parcels - Fill missing data,1.4465,102500,"27 GOOD SHEPHERD RD, BLUEMONT 20135; BLUEMONT 20135"
Little Fork Episcopal Church,2,5,4,Multiple parcels - Fill missing data,17.04059,0,"16471 OAK SHADE RD, RIXEYVILLE 22737; OAK SHADE RD, RIXEYVILLE 22737"
St Bartholomews Episcopal Church,1,5,5,Single parcel - Fill missing data,5.08094,501000,"10627 PATTERSON AVE, HENRICO 23238"
St Francis Episcopal Church,1,4,4,Single parcel - Fill missing data,9.4943,491000,"1484 HOCKETT RD, MANAKIN SABOT 23103"
St John the Baptist Church,1,5,5,Single parcel - Fill missing data,7.0976,378100,"4712 DICK WOODS RD, CHARLOTTESVILLE 22903"
Church of Our Redeemer,1,5,5,Single parcel - Fill missing data,1.13211,284100,"39518 LITTLE RIVER TPKE, ALDIE 20105"
St Lukes Church,1,4,4,Single parcel - Fill missing data,2.72661,200000,"403 NORTH RAPPAHANNOCK ST, REMINGTON 22734"
Grace Church,1,4,4,Single parcel - Fill missing data,3.51675,153500,"606 HOWERTON RD, DUNNSVILLE 22454"
Holy Cross Church,1,5,5,Single parcel - Fill missing data,2.36224,136000,"2523 CRAIGS STORE RD, AFTON 22920"
Good Shepherd-of-the-Hills,1,5,5,Single parcel - Fill missing data,3.11541,117600,"7420 MISSION HOME RD, FREE UNION 22940"
Grace Episcopal Church,1,4,4,Single parcel - Fill missing data,5.5998,101200,BREMO BLUFF 23022
Grace Memorial Church,1,4,4,Single parcel - Fill missing data,3.03144,100700,"7051 ORE BANK RD, PORT REPUBLIC 24471"
Calvary Episcopal Church,1,5,5,Single parcel - Fill missing data,1.45109,83300,"13312 HANOVER COURTHOUSE RD, HANOVER 23069"
St Georges Church,1,5,5,Single parcel - Fill missing data,1.83201,70000,"3392 PINE GROVE RD, STANLEY 22851"
Christ Church,1,4,4,Single parcel - Fill missing data,0.90241,0,"14586 ALANTHUS RD, BRANDY STATION 22714"
Church of the Spirit,1,0,0,Single parcel - Fill missing data,0,0,
La Iglesia de San Jose,1,0,0,Single parcel - Fill missing data,0,0,
Olivet Church,1,0,0,Single parcel - Fill missing data,0,0,
St Francis Korean Church,1,0,0,Single parcel - Fill missing data,0,0,
