congregation_name,scity,scounty,sadd,data_completeness,missing_land_value,missing_acreage,missing_wetland,missing_flood,missing_qct,missing_zoning,lat,lon,missing_fields
St Stephen & the Good Shepherd,ELKTON,ROCKINGHAM,"7078 ROCKY BAR RD, ELKTON 22827",3,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,38.345031,-78.70047,wetland flood zoning
St Stephen & the Good Shepherd,ELKTON,ROCKINGHAM,"7066 ROCKY BAR RD, ELKTON 22827",3,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,38.344452,-78.70038,wetland flood zoning
St James Church,MONTROSS,WESTMORELAND,MONTROSS 22520,3,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,38.094116,-76.827473,land_value wetland flood
St James Church,MONTROSS,WESTMORELAND,"218 RECTORY RD, MONTROSS 22520",3,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,38.092374,-76.825491,land_value wetland flood
Little Fork Episcopal Church,RIXEYVILLE,CULPEPER,"OAK SHADE RD, RIXEYVILLE 22737",4,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,38.598969,-77.95523,land_value wetland
Christ Church,BRANDY STATION,CULPEPER,"14586 ALANTHUS RD, BRANDY STATION 22714",4,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,38.502502,-77.894417,land_value wetland
St Lukes Church,REMINGTON,FAUQUIER,"403 NORTH RAPPAHANNOCK ST, REMINGTON 22734",4,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,38.536965,-77.80924800000001,wetland zoning
Emmanuel Church,KING GEORGE,KING-GEORGE,"17062 JAMES MADISON PKWY, KING GEORGE 22485",4,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,38.179528,-77.185808,land_value wetland
St Johns Church,KING GEORGE,KING-GEORGE,KING GEORGE 22485,4,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,38.267559,-77.18148699999999,land_value wetland
St Davids Church,AYLETT,KING-WILLIAM,"11253 WEST RIVER RD, AYLETT 23009",4,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,37.785479,-77.10392,wetland zoning
St Pauls Church,WEST POINT,KING-WILLIAM,"UNASSIGNED, WEST POINT 23181",4,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,37.538384,-76.797358,wetland zoning
St Pauls Church,WEST POINT,KING-WILLIAM,"UNASSIGNED, WEST POINT 23181",4,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,37.538427000000006,-76.797017,wetland zoning
St Pauls Church,WEST POINT,KING-WILLIAM,"UNASSIGNED, WEST POINT 23181",4,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,37.53858,-76.797102,wetland zoning
St Pauls Church,WEST POINT,KING-WILLIAM,"UNASSIGNED, WEST POINT 23181",4,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,37.538339,-76.796967,wetland zoning
St Pauls Church,WEST POINT,KING-WILLIAM,"UNASSIGNED, WEST POINT 23181",4,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,37.538324,-76.797532,wetland zoning
St Pauls Church,WEST POINT,KING-WILLIAM,"UNASSIGNED, WEST POINT 23181",4,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,37.538263,-76.797706,wetland zoning
Grace Memorial Church,PORT REPUBLIC,ROCKINGHAM,"7051 ORE BANK RD, PORT REPUBLIC 24471",4,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,38.300549,-78.766936,flood zoning
St Andrews Church,MOUNT JACKSON,SHENANDOAH,"5880 MAIN ST, MOUNT JACKSON 22842",4,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,38.747896999999995,-78.641126,wetland zoning
St Pauls Church Nomini Grove,WARSAW,WESTMORELAND,WARSAW 22572,4,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,38.034041,-76.744599,land_value wetland
St Johns Episcopal Church,WEST POINT,KING-WILLIAM,"103 SAINT JOHNS CHURCH LN, WEST POINT 23181",4,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,37.616651999999995,-76.920198,wetland zoning
St Johns Church,KING GEORGE,KING-GEORGE,"9403 KINGS HWY, KING GEORGE 22485",4,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,38.267347,-77.181672,land_value wetland
St Davids Church,AYLETT,KING-WILLIAM,"11291 WEST RIVER RD, AYLETT 23009",4,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,37.78489,-77.103395,wetland zoning
St James Church,MONTROSS,WESTMORELAND,MONTROSS 22520,4,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,38.094094,-76.826997,land_value wetland
St James Church,MONTROSS,WESTMORELAND,"15870 KINGS HWY, MONTROSS 22520",4,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,38.094819,-76.827101,land_value wetland
St James Church,MONTROSS,WESTMORELAND,MONTROSS 22520,4,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,38.09448,-76.827351,land_value wetland
St Pauls Church Nomini Grove,WARSAW,WESTMORELAND,WARSAW 22572,4,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,38.0338,-76.745535,land_value wetland
