uid,pid,congr_name,attendance_2023,members_2023,attendance_avg,lan_val,rgisacre,deed_acres,zon,zon_desc,zon_type,qct,dda,sadd,scity,scounty,sstate,szip,lat,lon
33       30_CULPEPER_VA_21375890-D15C-44E5-BFDE-0DD98602179A,33       30,Christ Church (Brandy Station),24,41,24.8,NA,0.90241,NA,CS,COMMERCIAL SERVICES DISTRICT,COMMERCIAL,0,0,"14586 ALANTHUS RD, BRANDY STATION 22714",BRANDY STATION,CULPEPER,VA,22714,38.502502,-77.894417
38 20_KING-GEORGE_VA_BA6DE2D6-B3C6-4597-BAE6-0CB4372014A9,38 20,Emmanuel Church (King George),23,6,30.2,NA,0.39604,NA,A1,LIMITED AGRICULTURAL DISTRICT,AGRICULTURE,0,0,"17062 JAMES MADISON PKWY, KING GEORGE 22485",KING GEORGE,KING-GEORGE,VA,22485,38.179528,-77.185808
22 25_KING-GEORGE_VA_7AEC623B-DF43-4FA3-AFDB-7584773F6098,22 25,Emmanuel Church (King George),23,6,30.2,NA,26.21151,NA,A2,RURAL AGRICULTURAL DISTRICT,AGRICULTURE,0,0,"11005 LAMBS CREEK CHURCH RD, KING GEORGE 22485",KING GEORGE,KING-GEORGE,VA,22485,38.264463,-77.26673
14       11A_CULPEPER_VA_30DFB596-2B7B-4520-80EC-FECFB25FC48F,14       11A,Little Fork Episcopal Church (Rixeyville),25,63,34.11111111,NA,16.13005,NA,A1,AGRICULTURAL,AGRICULTURE,0,0,"16471 OAK SHADE RD, RIXEYVILLE 22737",RIXEYVILLE,CULPEPER,VA,22737,38.601057,-77.953831
14        4A_CULPEPER_VA_5CFE5159-ADF6-4667-AD8E-67AEBA2A6FEE,14        4A,Little Fork Episcopal Church (Rixeyville),25,63,34.11111111,NA,0.91054,NA,A1,AGRICULTURAL,AGRICULTURE,0,0,"OAK SHADE RD, RIXEYVILLE 22737",RIXEYVILLE,CULPEPER,VA,22737,38.598969,-77.95523
34A2-1-6-7E_WESTMORELAND_VA_37A67A9B-98B3-43B2-9CA5-11248AE6F36E,34A2-1-6-7E,St James Church (Montross),25,100,25.3,NA,0.39791,NA,A1,NA,NA,0,1,MONTROSS 22520,MONTROSS,WESTMORELAND,VA,22520,38.094116,-76.827473
34-132_WESTMORELAND_VA_4463C697-241E-45B6-982C-8161901EDDF5,34-132,St James Church (Montross),25,100,25.3,NA,1.03877,NA,A1,NA,NA,0,1,"218 RECTORY RD, MONTROSS 22520",MONTROSS,WESTMORELAND,VA,22520,38.092374,-76.825491
34A2-1-6-12A_WESTMORELAND_VA_56712AC0-00BB-45D4-8751-F050494469EB,34A2-1-6-12A,St James Church (Montross),25,100,25.3,NA,1.12368,NA,A1,NA,NA,0,1,MONTROSS 22520,MONTROSS,WESTMORELAND,VA,22520,38.094094,-76.826997
34A2-1-6-11_WESTMORELAND_VA_CDD79F6F-7DBB-4631-97D7-1265B56589B3,34A2-1-6-11,St James Church (Montross),25,100,25.3,NA,0.80487,NA,A1,NA,NA,0,1,"15870 KINGS HWY, MONTROSS 22520",MONTROSS,WESTMORELAND,VA,22520,38.094819,-76.827101
34A2-1-6-7B_WESTMORELAND_VA_98F5B32C-431B-465C-9BF3-E889A1142981,34A2-1-6-7B,St James Church (Montross),25,100,25.3,NA,0.26251,NA,A1,NA,NA,0,1,MONTROSS 22520,MONTROSS,WESTMORELAND,VA,22520,38.09448,-76.827351
24B 4 20B_KING-GEORGE_VA_FD75C6B2-DFC2-484F-86B2-146BE6F6D7D4,24B 4 20B,St Johns Church (King George),24,42,31.1,NA,0.25349,NA,C2,GENERAL TRADE DISTRICT,COMMERCIAL,0,0,KING GEORGE 22485,KING GEORGE,KING-GEORGE,VA,22485,38.267559,-77.18148699999999
24 155_KING-GEORGE_VA_7AE54C41-86E7-4A47-B63C-F4F618A75991,24 155,St Johns Church (King George),24,42,31.1,NA,49.81875,NA,A2,RURAL AGRICULTURAL DISTRICT,AGRICULTURE,0,0,"10367 RECTORY LN, KING GEORGE 22485",KING GEORGE,KING-GEORGE,VA,22485,38.270151,-77.174342
24B 4 20_KING-GEORGE_VA_2C927B36-CEB1-41A6-901F-FE7285DB4F2E,24B 4 20,St Johns Church (King George),24,42,31.1,NA,0.69205,NA,C2,GENERAL TRADE DISTRICT,COMMERCIAL,0,0,"9403 KINGS HWY, KING GEORGE 22485",KING GEORGE,KING-GEORGE,VA,22485,38.267347,-77.181672
52-8A_WESTMORELAND_VA_A9A223F5-FBE3-4E4D-AAFA-66E14B8B03DB,52-8A,St Pauls Church Nomini Grove (Warsaw),29,39,23.2,NA,0.18617,NA,A1,NA,NA,0,1,WARSAW 22572,WARSAW,WESTMORELAND,VA,22572,38.034041,-76.744599
52-9_WESTMORELAND_VA_2D943ABD-25C0-47B7-A302-0ADD56D6C319,52-9,St Pauls Church Nomini Grove (Warsaw),29,39,23.2,NA,2.72444,NA,A1,NA,NA,0,1,WARSAW 22572,WARSAW,WESTMORELAND,VA,22572,38.0338,-76.745535
