objectid,uid,stk_pids,stk_uids,stk_count,stk_uid,stk_group,stk_type,stk_check,cl_own_tot,stract,sblkgp,sblock,sadd,scounty,scity,sstate,szip,madd,careof,congr_name,verep,verep_man,v_confirm,v_notes,pid,taxid,taxamt,taxyear,acct_id,pv_type,ag_val,imp_val,lan_val,par_val,lsdate,lsprice,yr_blt,rgisacre,rgissqft,deed_acres,add_count,struct,structno,bldgcount,bldgsqft,nrooms,nstories,nunits,h_g_n5,h_g_p5,hai,hhi_g_n5,pop_g_n5,pop_g_p5,cdl_cat,cdl_date,cld_pct,dem_hi,dem_lo,dem_rat,fema_fz,fema_fzd,fema_fzr,fema_fzs,fema_nri,home_ex,lbcs_acdes,lbcs_fudes,lbcs_owdes,lbcs_sides,lbcs_stdes,usecode,usedesc,padus_pa,sc_block,sc_lot,sc_name,sc_nbhd,sc_subdv,zon,zon_id,zon_desc,zon_type,zon_stype,qoz,dda,qct,easement,hist_dist,wet_perc,walk_idx,trans_acc,diocese,diocese_related,church,cemetery,school,parking,open_space,residence,senior_living,seminary,other,med_age,medinc,med_rnt,md_h_vl,min_prc,pov_prc,ten_oo,ten_rnt,d_pov_perc,d_min_perc,d_oo_perc,d_rnt_perc,d_min_blw,d_pov_blw,d_rntr_blw,d_oo_blw,d_med_age,d_med_inc,d_med_hval,d_med_rnt,d_age_blw,d_inc_blw,d_hval_blw,d_mrnt_blw,lila_19,congdist_id,congdist118,ua_id,ua_name,juris_name,juris_type,juris_district,lat,lon,tld,calc_angle,x,y,streetview,c_tot_pop,asian_perc,black_perc,hisp_perc,dem_rat_class,walk_idx_class,yr_blt_converted,dio_region,v_owntype,v_zon,globalid,created_date,created_user,last_edited_date,last_edited_user,yr_blt_num,shape_Length,shape_Area
10,078000000055A6_ALBEMARLE_VA_442EA7FD-E3CB-4AEB-A1E5-61F47C29D782,,,0,,,0,,WESTMINISTER CANTERBURY OF THE BLUE RIDGE,51003010502,510030105022,510030105022006,"250 PANTOPS MOUNTAIN RD, CHARLOTTESVILLE 22911",ALBEMARLE,CHARLOTTESVILLE,VA,22911,"250  PANTOPS MOUNTAIN RD , CHARLOTTESVILLE, VA 22911",ANNA BUCHANAN,,1,1,1,There is no specific congregation affiliated with this parcel/facility,078000000055A6,,,,,MARKET,,149177600.000000000000000,11746500.000000000000000,160924100.000000000000000,1997-02-20,0.000000000000000,,56.020339999999997,2440297.000000000000000,,365.000000000000000,Yes,65,65,375735.000000000000000,,,,0.890000000000000,0.730000000000000,125.000000000000000,1.120000000000000,0.690000000000000,0.460000000000000,DEVELOPED/MED INTENSITY,2023,39.100000000000001,201.449999999999989,150.530000000000001,4.0,X,2023-10-17,"[{""ZONE"":""X"",""SUBTYPE"":""AREA OF MINIMAL FLOOD HAZARD"",""PERCENT"":100}]",AREA OF MINIMAL FLOOD HAZARD,RELATIVELY LOW,,,,,,,,RESIDENTIAL -- SINGLE-FAMILY ATTACHED,,,55A6,WESTMINSTER CANTERBURY,,N/A,PRD,13559960.0,PLANNED RESIDENTIAL DEVELOPMENT,PLANNED,PLANNED,No,0,0,,,0.313388660000000,12.833333330000000,2.000000000000000,,1,1,,,1,1,1,1,,1,49.399999999999999,97135.000000000000000,2001.000000000000000,378300.000000000000000,24.724062000000000,2.097130000000000,30.525649000000001,69.474350999999999,7.614919000000000,44.694687000000002,67.065310999999994,32.934689000000006,1,1,0,1,20.500000000000000,187113.575500000006286,309485.393199999991339,1312.880034000000023,0,1,0,0,0,5001800US5105,Congressional District 5,15724,"Charlottesville, VA",Albemarle County,CO,Culpeper,38.029449000000000,-78.435966000000008,0.000000000000000,93.972988379999990,-78.436030120000012,38.029452210000002,"http://maps.google.com/maps?q=&layer=c&cbll=38.0294522122,-78.4360301212&cbp=11,93.9729883788805,0,0,0",113683.000000000000000,3.237675000000000,15.084621000000000,4.415011000000000,0,2,,4,4,,{1B43EACA-AE5F-4D86-A426-A28C0290E976},4/21/2025 21:52:25,rmurray_cgs,6/5/2025 15:46:55,verep_editor,,0.024545036544171,0.000023253285625
11,007000000002A0_ALBEMARLE_VA_67DD57C8-B7DD-4663-AD14-C9327886B070,,,0,,,0,,"MASON PARISH, TRUSTEES OF",51003010100,510030101002,510030101002024,"7420 MISSION HOME RD, FREE UNION 22940",ALBEMARLE,FREE UNION,VA,22940,"PO BOX 31 , FREE UNION, VA 22940",MRS D S MORRIS JR,Good Shepherd-of-the-Hills (Free Union),1,1,1,,007000000002A0,,,,,MARKET,,477100.000000000000000,117600.000000000000000,594700.000000000000000,1899-12-30,0.000000000000000,,3.115410000000000,135710.000000000000000,,1.000000000000000,NONE,,2,5002.000000000000000,,,,0.190000000000000,-0.110000000000000,65.000000000000000,5.100000000000000,-0.010000000000000,-0.230000000000000,,,,260.470000000000027,251.020000000000010,3.0,X,2023-10-17,"[{""ZONE"":""X"",""SUBTYPE"":""AREA OF MINIMAL FLOOD HAZARD"",""PERCENT"":100}]",AREA OF MINIMAL FLOOD HAZARD,RELATIVELY LOW,,,,,,,,SEMI-PUBLIC,,,2A0,,,N/A,RA,13559761.0,RURAL AREAS,RESIDENTIAL,SINGLE FAMILY,No,0,0,,,,6.166666670000000,,,,1,,,,,,,,,50.200000000000003,103340.000000000000000,1559.000000000000000,491400.000000000000000,13.215763000000001,4.027868000000000,85.458491999999993,14.541507999999999,7.614919000000000,44.694687000000002,67.065310999999994,32.934689000000006,1,1,1,0,20.500000000000000,187113.575500000006286,309485.393199999991339,1312.880034000000023,0,1,0,0,0,5001800US5105,Congressional District 5,,,Albemarle County,CO,Culpeper,38.239992000000001,-78.617080000000001,12596.000000000000000,188.647790069999985,-78.617004580000000,38.240384059999997,"http://maps.google.com/maps?q=&layer=c&cbll=38.2403840603,-78.6170045773&cbp=11,188.64779006822815,0,0,0",113683.000000000000000,0.043545000000000,8.926627000000000,1.132158000000000,0,1,,4,2,,{A5B25982-2A5C-4497-B7F9-FB56C9B3336E},4/21/2025 21:52:25,rmurray_cgs,5/29/2025 5:00:02,rmurray_cgs,,0.006191209557777,0.000001297081875
12,04800000001600_ALBEMARLE_VA_541A939D-6758-4881-AE4A-233EF36CA86F,,,0,,,0,,ST JOHNS MISSION CHURCH,51003010401,510030104011,510030104011035,"3929 STONY POINT RD, KESWICK 22947",ALBEMARLE,KESWICK,VA,22947,"3929  STONY POINT RD , KESWICK, VA 22947",,,0,1,1,The name of the congregation is ALL SAINTS EPISCOPAL CHURCH (KESWICK),04800000001600,,,,,MARKET,,76700.000000000000000,99000.000000000000000,175700.000000000000000,1899-12-30,0.000000000000000,1754.0,2.435460000000000,106091.000000000000000,,0.000000000000000,Yes,1,1,1579.000000000000000,,2.000000000000000,,0.140000000000000,-0.110000000000000,67.000000000000000,4.350000000000000,-0.110000000000000,-0.390000000000000,,,,164.280000000000001,156.060000000000002,3.0,X,2023-10-17,"[{""ZONE"":""X"",""SUBTYPE"":""AREA OF MINIMAL FLOOD HAZARD"",""PERCENT"":100}]",AREA OF MINIMAL FLOOD HAZARD,RELATIVELY LOW,,,,NONPROFIT RELIGIOUS,,,CHURCH,SEMI-PUBLIC,,,1600,ALL SAINTS EPISCOPAL CHURCH,,N/A,VR,13559850.0,VILLAGE RESIDENTIAL,RESIDENTIAL,SINGLE FAMILY,No,0,0,,1,,3.333333330000000,,,,1,,,1,,0,0,0,,48.700000000000003,108750.000000000000000,1130.000000000000000,607000.000000000000000,20.225915999999998,2.813299000000000,68.803205000000005,31.196795000000002,7.614919000000000,44.694687000000002,67.065310999999994,32.934689000000006,1,1,1,0,20.500000000000000,187113.575500000006286,309485.393199999991339,1312.880034000000023,0,1,0,1,0,5001800US5105,Congressional District 5,,,Albemarle County,CO,Culpeper,38.111625000000004,-78.367635999999990,1181.000000000000000,196.369848259999998,-78.367479729999999,38.112044950000005,"http://maps.google.com/maps?q=&layer=c&cbll=38.1120449526,-78.3674797329&cbp=11,196.36984825920254,0,0,0",113683.000000000000000,0.000000000000000,14.173061000000001,4.497015999999999,0,0,1/1/1754 0:00:00,4,2,,{42973220-2F52-445B-A805-CC0DB9839DB2},4/21/2025 21:52:25,rmurray_cgs,6/10/2025 14:30:33,verep_editor,1754,0.004747577846204,0.000001011982375
13,07500000003700_ALBEMARLE_VA_B7D3E13F-7CC8-4353-80EF-E74D6781BE8A,,,0,,,0,,"DIOCEASAN MISS SOCIETY, TRUSTEES OF",51003011202,510030112024,510030112024008,CHARLOTTESVILLE 22903,ALBEMARLE,CHARLOTTESVILLE,VA,22903,"3866  STARLIGHT RD , NORTH GARDEN, VA 22959",IRENE HUDSON,,1,1,1,"The name of the congregation is GOOD SHEPHERD CHURCH, EPISCOPAL CHURCH (HICKORY HILL)",07500000003700,,,,,MARKET,,0.000000000000000,1600.000000000000000,1600.000000000000000,1899-12-30,0.000000000000000,,1.316420000000000,57344.000000000000000,,0.000000000000000,NONE,,0,,,,,1.420000000000000,1.180000000000000,38.000000000000000,2.700000000000000,1.190000000000000,1.050000000000000,,,,161.370000000000005,146.460000000000008,4.0,X,2023-10-17,"[{""ZONE"":""X"",""SUBTYPE"":""AREA OF MINIMAL FLOOD HAZARD"",""PERCENT"":100}]",AREA OF MINIMAL FLOOD HAZARD,RELATIVELY LOW,,,,,,,,FOREST,,,3700,,,N/A,RA,13559842.0,RURAL AREAS,RESIDENTIAL,SINGLE FAMILY,No,0,0,,,,6.833333330000000,2.000000000000000,,1,0,1,0,0,1,0,0,0,1,44.200000000000003,149107.000000000000000,1211.000000000000000,571700.000000000000000,14.021096000000000,4.116285000000000,89.871707999999998,10.128292000000000,7.614919000000000,44.694687000000002,67.065310999999994,32.934689000000006,1,1,1,0,20.500000000000000,187113.575500000006286,309485.393199999991339,1312.880034000000023,0,1,0,1,0,5001800US5105,Congressional District 5,,,Albemarle County,CO,Culpeper,38.012178999999996,-78.556446999999991,2075.000000000000000,,-78.556447249999991,38.012179459999999,"http://maps.google.com/maps?q=&layer=c&cbll=38.012179455173175,-78.5564472512425&cbp=11,0,0,0,0",113683.000000000000000,7.589401000000001,4.167739000000000,2.366864000000000,0,1,,4,3,,{D80F60B5-79F0-41A7-9D3D-D26DAA9B718A},4/21/2025 21:52:25,rmurray_cgs,6/10/2025 14:36:36,verep_editor,,0.002931463592142,0.000000546366125
14,06100000014500_ALBEMARLE_VA_DFDD3678-CC4D-4020-892F-CB8DC689DC9C,,,0,,,0,,"CHURCH OF OUR SAVIOUR, SPENCER E WE CHARLES R HAUGH, TRUSTEES",51003010604,510030106043,510030106043019,"1147 RIO RD EAST, CHARLOTTESVILLE 22901",ALBEMARLE,CHARLOTTESVILLE,VA,22901,"1165 EAST RIO RD , CHARLOTTESVILLE, VA 22901",,Church of Our Saviour (Charlottesville),1,1,1,,06100000014500,,,,,MARKET,,36200.000000000000000,522700.000000000000000,558900.000000000000000,1990-01-31,0.000000000000000,1917.0,0.839080000000000,36551.000000000000000,,1.000000000000000,NONE,,1,3028.000000000000000,,1.000000000000000,,0.110000000000000,-0.090000000000000,104.000000000000000,4.470000000000000,-0.110000000000000,-0.360000000000000,,,,145.389999999999986,140.099999999999994,3.0,X,2023-10-17,"[{""ZONE"":""X"",""SUBTYPE"":""AREA OF MINIMAL FLOOD HAZARD"",""PERCENT"":100}]",AREA OF MINIMAL FLOOD HAZARD,RELATIVELY LOW,,,,NONPROFIT RELIGIOUS,,,RETAIL STORE,COMMERCIAL,,,14500,CHURCH THRIFT STORE,,N/A,C-1,13560571.0,COMMERCIAL,COMMERCIAL,GENERAL COMMERCIAL,No,0,0,,,,8.666667000000000,15.330000000000000,,,,,,,,1,,,1,42.500000000000000,125067.000000000000000,1810.000000000000000,472700.000000000000000,16.542795000000002,7.168545000000000,63.359234999999998,36.640765000000002,7.614919000000000,44.694687000000002,67.065310999999994,32.934689000000006,1,1,0,1,20.500000000000000,187113.575500000006286,309485.393199999991339,1312.880034000000023,0,1,0,0,0,5001800US5105,Congressional District 5,15724,"Charlottesville, VA",Charlottesville City,CI,Culpeper,38.067848999999995,-78.466329000000002,1618.000000000000000,62.107355980000001,-78.466775810000001,38.067662509999998,"http://maps.google.com/maps?q=&layer=c&cbll=38.0676625055,-78.4667758123&cbp=11,62.1073559838319,0,0,0",113683.000000000000000,6.832894000000000,7.408295000000000,1.606329000000000,0,1,1/1/1917 0:00:00,4,2,,{E7FD7A98-9825-4FCB-81A8-6494A5D636E6},4/21/2025 21:52:25,rmurray_cgs,5/29/2025 5:00:02,rmurray_cgs,1917,0.002638999278411,0.000000348481125
15,092000000046A0_ALBEMARLE_VA_78B27921-111A-4B5F-8AD1-7102A4FFA6EA,,,0,,,0,,"ST LUKES SIMEON; JOE H GIECK, ROBERT E BILL & E DONALD FICKES TRUSTEES",51003011301,510030113015,510030113015000,"1333 THOMAS JEFFERSON PKWY, CHARLOTTESVILLE 22902",ALBEMARLE,CHARLOTTESVILLE,VA,22902,"PO BOX 694 , CHARLOTTESVILLE, VA 22901",,St Lukes Church (Simeon) (Charlottesville),1,1,1,,092000000046A0,,,,,MARKET,,247600.000000000000000,92400.000000000000000,340000.000000000000000,2009-05-05,0.000000000000000,,1.072090000000000,46701.000000000000000,,0.000000000000000,NONE,,2,2933.000000000000000,,,,0.130000000000000,-0.080000000000000,55.000000000000000,3.520000000000000,-0.160000000000000,-0.480000000000000,,,,164.719999999999999,160.250000000000000,2.0,X,2023-10-17,"[{""ZONE"":""X"",""SUBTYPE"":""AREA OF MINIMAL FLOOD HAZARD"",""PERCENT"":100}]",AREA OF MINIMAL FLOOD HAZARD,RELATIVELY LOW,,,,PRIVATE TRUSTS,,,,SEMI-PUBLIC,,,46A0,ST LUKE'S CHAPEL,,N/A,RA,13559827.0,RURAL AREAS,RESIDENTIAL,SINGLE FAMILY,No,0,0,,1,,5.000000000000000,2.000000000000000,,,1,,,,,,,,,51.200000000000003,98158.000000000000000,1323.000000000000000,385900.000000000000000,16.710713999999999,1.545029000000000,83.027079000000001,16.972920999999999,7.614919000000000,44.694687000000002,67.065310999999994,32.934689000000006,1,1,1,0,20.500000000000000,187113.575500000006286,309485.393199999991339,1312.880034000000023,0,1,0,0,0,5001800US5105,Congressional District 5,,,Albemarle County,CO,Culpeper,37.992672000000006,-78.445093999999997,2206.000000000000000,179.445548850000023,-78.445096589999991,37.992905039999997,"http://maps.google.com/maps?q=&layer=c&cbll=37.9929050446,-78.4450965862&cbp=11,179.44554884703072,0,0,0",113683.000000000000000,4.187843000000000,10.124009000000001,2.032934000000000,0,0,,4,2,,{07EED0EE-BA8E-4594-8482-94469DD3FF2A},4/21/2025 21:52:25,rmurray_cgs,5/29/2025 4:59:57,rmurray_cgs,,0.002912693378570,0.000000444796500
16,08800000001000_ALBEMARLE_VA_81E7965A-DA63-493D-BF34-43D6C97F17DF,,,0,,,0,,RED HILL CHURCH,51003011202,510030112024,510030112024036,"3121 RED HILL DEPOT RD, NORTH GARDEN 22959",ALBEMARLE,NORTH GARDEN,VA,22959,"960  MONACAN TRAIL RD , NORTH GARDEN, VA 22959",IRENE HUDSON,McIlhany Church (Albermarle) (Charlottesville),1,1,1,,08800000001000,,,,,MARKET,,485300.000000000000000,112500.000000000000000,597800.000000000000000,1899-12-30,0.000000000000000,1923.0,1.595440000000000,69499.000000000000000,,1.000000000000000,NONE,,1,3883.000000000000000,,1.000000000000000,,1.420000000000000,1.180000000000000,38.000000000000000,2.700000000000000,1.190000000000000,1.050000000000000,,,,187.719999999999999,177.360000000000014,4.0,X,2023-10-17,"[{""ZONE"":""X"",""SUBTYPE"":""AREA OF MINIMAL FLOOD HAZARD"",""PERCENT"":85},{""ZONE"":""AE"",""SUBTYPE"":NULL,""PERCENT"":12},{""ZONE"":""A"",""SUBTYPE"":NULL,""PERCENT"":3}]",AREA OF MINIMAL FLOOD HAZARD,RELATIVELY LOW,,HOUSEHOLD,PRIVATE HOUSEHOLD,NONPROFIT RELIGIOUS,DEVELOPED SITE WITH BUILDINGS,RESIDENTIAL BUILDINGS,CHURCH,SEMI-PUBLIC,,,1000,,,N/A,RA,13559846.0,RURAL AREAS,RESIDENTIAL,SINGLE FAMILY,No,0,0,,,,6.833333330000000,2.000000000000000,,,1,1,,,,,,,,44.200000000000003,149107.000000000000000,1211.000000000000000,571700.000000000000000,14.021096000000000,4.116285000000000,89.871707999999998,10.128292000000000,7.614919000000000,44.694687000000002,67.065310999999994,32.934689000000006,1,1,1,0,20.500000000000000,187113.575500000006286,309485.393199999991339,1312.880034000000023,0,1,0,1,0,5001800US5105,Congressional District 5,,,Albemarle County,CO,Culpeper,37.961516000000003,-78.607956999999999,748.000000000000000,261.286992139999995,-78.607648150000003,37.961553070000001,"http://maps.google.com/maps?q=&layer=c&cbll=37.9615530662,-78.6076481488&cbp=11,261.2869921393699,0,0,0",113683.000000000000000,7.589401000000001,4.167739000000000,2.366864000000000,0,1,1/1/1923 0:00:00,4,2,,{14EE0DCC-7794-41B6-BBA3-F86FBD39D38B},4/21/2025 21:52:25,rmurray_cgs,5/29/2025 4:58:18,rmurray_cgs,1923,0.003434424509919,0.000000661752500
17,130A2000008700_ALBEMARLE_VA_3950642D-2EFE-4BA0-8364-A8959C634655,,,0,,,0,,SCOTTSVILLE EPISCOPAL CHURCH,51003011400,510030114002,510030114002011,"410 HARRISON ST, SCOTTSVILLE 24590",ALBEMARLE,SCOTTSVILLE,VA,24590,"PO BOX 337 , SCOTTSVILLE, VA 24590",ST ANNE'S PERISH,,1,1,1,The name of the congregation is ST JOHNS CHURCH (SCOTTSVILLE),130A2000008700,,,,,MARKET,,407700.000000000000000,27300.000000000000000,435000.000000000000000,1899-12-30,0.000000000000000,1875.0,0.218910000000000,9536.000000000000000,,0.000000000000000,Yes,1,1,3220.000000000000000,,1.000000000000000,,0.170000000000000,-0.130000000000000,58.000000000000000,1.520000000000000,0.030000000000000,3.890000000000000,,,,94.939999999999998,92.060000000000002,4.0,X,2023-10-17,"[{""ZONE"":""X"",""SUBTYPE"":""AREA OF MINIMAL FLOOD HAZARD"",""PERCENT"":100}]",AREA OF MINIMAL FLOOD HAZARD,RELATIVELY LOW,,,,NONPROFIT RELIGIOUS,,,CHURCH,SEMI-PUBLIC,,,8700,ST. ANNE'S PERISH,,TOWN OF SCOTTSVILLE,TOWN OF SCOTTSVILLE,,,,,No,0,0,,1,,7.833333330000000,,,,1,0,,,,,,,,49.700000000000003,90267.000000000000000,1124.000000000000000,315100.000000000000000,21.169615999999998,7.207596000000000,79.535637000000008,20.464363000000002,7.614919000000000,44.694687000000002,67.065310999999994,32.934689000000006,1,1,1,0,20.500000000000000,187113.575500000006286,309485.393199999991339,1312.880034000000023,0,1,0,1,0,5001800US5105,Congressional District 5,,,Scottsville town,TO,Culpeper,37.799185000000001,-78.496749000000008,452.000000000000000,241.449488330000008,-78.496449149999989,37.799314210000006,"http://maps.google.com/maps?q=&layer=c&cbll=37.7993142143,-78.4964491492&cbp=11,241.44948833259724,0,0,0",113683.000000000000000,0.280535000000000,17.026326999999998,2.740613000000000,0,1,1/1/1875 0:00:00,4,2,,{78772073-744B-45F7-BBEE-47F0D23827E6},4/21/2025 21:52:25,rmurray_cgs,6/10/2025 14:41:04,verep_editor,1875,0.001445940220145,0.000000090594000
18,07300000002000_ALBEMARLE_VA_BD07F8FB-8DA8-424F-80F3-403C97A58369,,,0,,,0,,ST JOHN THE BAPTIST D M S,51003011201,510030112013,510030112013002,"4712 DICK WOODS RD, CHARLOTTESVILLE 22903",ALBEMARLE,CHARLOTTESVILLE,VA,22903,"PO BOX 351 , IVY, VA 22945",CHANEY KENT TREASURER,St John the Baptist Church (Charlottesville),1,1,1,,07300000002000,,,,,MARKET,,769800.000000000000000,378100.000000000000000,1147900.000000000000000,1899-12-30,0.000000000000000,,7.097600000000000,309178.000000000000000,,3.000000000000000,NONE,,4,8106.000000000000000,,,,0.130000000000000,-0.090000000000000,50.000000000000000,4.080000000000000,-0.110000000000000,-0.350000000000000,,,,230.099999999999994,218.340000000000003,3.0,X,2023-10-17,"[{""ZONE"":""X"",""SUBTYPE"":""AREA OF MINIMAL FLOOD HAZARD"",""PERCENT"":100}]",AREA OF MINIMAL FLOOD HAZARD,RELATIVELY LOW,,HOUSEHOLD,PRIVATE HOUSEHOLD,,DEVELOPED SITE WITH BUILDINGS,RESIDENTIAL BUILDINGS,,SEMI-PUBLIC,,,2000,,,N/A,RA,13559773.0,RURAL AREAS,RESIDENTIAL,SINGLE FAMILY,No,0,0,,,,5.833333330000000,,,,1,1,,,,,,,,44.700000000000003,92023.000000000000000,1274.000000000000000,525800.000000000000000,13.568610000000000,5.677334999999999,74.499188000000004,25.500812000000003,7.614919000000000,44.694687000000002,67.065310999999994,32.934689000000006,1,1,1,0,20.500000000000000,187113.575500000006286,309485.393199999991339,1312.880034000000023,0,1,0,1,0,5001800US5105,Congressional District 5,,,Albemarle County,CO,Culpeper,38.017806000000000,-78.657676000000009,2055.000000000000000,325.981429569999989,-78.657110910000000,38.017142690000000,"http://maps.google.com/maps?q=&layer=c&cbll=38.0171426873,-78.6571109066&cbp=11,325.98142956766844,0,0,0",113683.000000000000000,1.008330000000000,2.630425000000000,8.921526000000000,0,1,,4,2,,{3BBE1FB7-6064-442F-9F7F-9D024B066CB1},4/21/2025 21:52:25,rmurray_cgs,5/29/2025 4:58:16,rmurray_cgs,,0.007261845762112,0.000002946272375
19,07000000001200_ALBEMARLE_VA_3080E19D-0881-45DD-9B9A-3D1A735B109C,,,0,,,0,,"EMMANUEL EPISCOPAL CHURCH, THEODORE ELIZABETH PINKERTON SCOTT TRUSTEES",51003011201,510030112011,510030112011053,"7585 ROCKFISH GAP TPKE, GREENWOOD 22943",ALBEMARLE,GREENWOOD,VA,22943,"7500  ROCKFISH GAP TPKE , GREENWOOD, VA 22943",,Emmanuel Episcopal Church (Greenwood),1,1,1,,07000000001200,,,,,MARKET,,440000.000000000000000,126500.000000000000000,566500.000000000000000,1997-06-09,259000.000000000000000,1958.0,2.318400000000000,100992.000000000000000,,1.000000000000000,NONE,,1,2948.000000000000000,,1.000000000000000,,0.160000000000000,-0.090000000000000,72.000000000000000,3.880000000000000,-0.020000000000000,-0.290000000000000,,,,220.430000000000007,201.629999999999995,4.0,A,2023-10-17,"[{""ZONE"":""A"",""SUBTYPE"":NULL,""PERCENT"":1},{""ZONE"":""X"",""SUBTYPE"":""AREA OF MINIMAL FLOOD HAZARD"",""PERCENT"":99}]",,RELATIVELY LOW,,HOUSEHOLD,PRIVATE HOUSEHOLD,NONPROFIT RELIGIOUS,DEVELOPED SITE WITH BUILDINGS,RESIDENTIAL BUILDINGS,SINGLE FAMILY,RESIDENTIAL -- SINGLE-FAMILY (INCL. MODULAR HOMES),,,1200,,,N/A,RA,13559781.0,RURAL AREAS,RESIDENTIAL,SINGLE FAMILY,No,0,0,,1,,5.666666670000000,,,,,,,,1,,,,1,44.700000000000003,92023.000000000000000,1274.000000000000000,525800.000000000000000,13.568610000000000,5.677334999999999,74.499188000000004,25.500812000000003,7.614919000000000,44.694687000000002,67.065310999999994,32.934689000000006,1,1,1,0,20.500000000000000,187113.575500000006286,309485.393199999991339,1312.880034000000023,0,1,0,1,0,5001800US5105,Congressional District 5,,,Albemarle County,CO,Culpeper,38.033893999999997,-78.761989000000000,2688.000000000000000,150.025583259999991,-78.762500700000004,38.034595150000001,"http://maps.google.com/maps?q=&layer=c&cbll=38.0345951527,-78.7625007019&cbp=11,150.02558326337478,0,0,0",113683.000000000000000,1.008330000000000,2.630425000000000,8.921526000000000,0,0,1/1/1958 0:00:00,4,2,,{34C2355E-D97D-4DEA-ABE0-6E7F4BAAAF91},4/21/2025 21:52:25,rmurray_cgs,5/29/2025 4:58:18,rmurray_cgs,1958,0.004264315386761,0.000000962684625
